doi,title,design_diversity_role,docling_markdown_path
10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity","two-sample and multivariable MR; sensitivity and replication boundary",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_def153153292e09c/def153153292e09c_xml_20260809_023916/docling/document.md
10.1002/imo2.70128,"A uterine-centric view of reproductive senescence: Genetic insights into late-life performance in laying hens","cross-sectional genetic mediation",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_df9c04fe3eee2ae2/df9c04fe3eee2ae2_html_20260809_024601/docling/document.md
10.1016/j.cels.2021.09.005,"Multiomic profiling of the liver across diets and age in a diverse mouse population","directed statistical model followed by cross-species perturbation",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_d83dc5cb41628ad5/doi_d83dc5cb41628ad5_docling_json_20260809_031025/docling/document.md
10.1038/s41467-023-37729-w,"Multi-omic underpinnings of epigenetic aging and human longevity","TWAS fine-mapping versus molecular and metabolite MR",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_c1b7e582e69cfca7/doi_c1b7e582e69cfca7_docling_json_20260809_031627/docling/document.md
10.1038/s41536-026-00490-x,"Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy","randomized long-term mouse intervention with molecular but no renal-functional endpoints",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_8ba1a47eb43c7c7a/doi_8ba1a47eb43c7c7a_docling_json_20260809_031751/docling/document.md
10.1038/s43587-023-00451-9,"Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation","heterochronic parabiosis and biological-transfer scope",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_48e3a065d7269ec5/doi_48e3a065d7269ec5_docling_json_20260809_031945/docling/document.md
10.1038/s43587-026-01100-7,"Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence","CRISPRi multiome with cell and in-vivo follow-up",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_ed7083b490beff1d/doi_ed7083b490beff1d_docling_json_20260809_031952/docling/document.md
10.1093/bib/bbag271,"StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data","SEM mediation embedded in a prediction study",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_3095090048b86d78/doi_3095090048b86d78_docling_json_20260809_031725/docling/document.md
10.1093/eurheartj/ehad361,"Subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation: a multi-omics study","observational causal mediation with explicit causal limitation",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_4d8760b707f819ef/doi_4d8760b707f819ef_docling_json_20260809_031732/docling/document.md
10.1111/acel.70064,"Aged Gut Microbiota Contributes to Cognitive Impairment and Hippocampal Synapse Loss in Mice","aged FMT biological transfer and package-versus-component boundary",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_682a64714ac9f395/doi_682a64714ac9f395_docling_json_20260809_032356/docling/document.md
10.1111/acel.70103,"Multi-Omics Analysis Reveals Biomarkers That Contribute to Biological Age Rejuvenation in Response to Single-Blinded Randomized Placebo-Controlled Therapeutic Plasma Exchange","nominally randomized human trial with deterministic sequential allocation and time-specific effects",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_23b791406911bbd7/doi_23b791406911bbd7_docling_json_20260809_032451/docling/document.md
10.1111/acel.70498,"Multi-Omics Reveals Mechanisms of Metabolic Rejuvenation in Aged Mice and Pre-Frail Older Men by Losartan","secondary dose-escalation analysis with dose-time confounding",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_c94b578c4f19a44d/doi_c94b578c4f19a44d_docling_json_20260809_032016/docling/document.md
10.1128/msystems.01665-24,"Microbiota-derived indole acetic acid extends lifespan through the AhR-Sirt2 pathway in Drosophila","assigned supplementation plus mutant/RNAi epistasis",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_c3e25e42195e076b/doi_c3e25e42195e076b_docling_json_20260809_032602/docling/document.md
10.1186/s12964-026-02985-y,"Multi-omics and experimental evidence in human chondrocytes identify caspase-8 as a non-apoptotic regulator of inflammatory, senescent, and fibrotic signaling in osteoarthritis","positive inhibitor versus null siRNA operations and off-target concern",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_9eec505bb5091c11/doi_9eec505bb5091c11_docling_json_20260809_032111/docling/document.md
10.26599/fshw.2026.9251125,"Unraveling the Key Pathways through Cordycepin Prolongs Lifespan in C. elegans by Integrating Multi-omics Approaches","lifespan intervention and epistasis versus docking-based target nomination",data/full_text_graph/v1.0.0_luna_light/artifacts/doi_c9d1be7c453392ef/doi_c9d1be7c453392ef_docling_json_20260809_032314/docling/document.md
